id,description
1,"Tối 6/12, đỉnh triều cường đạt gần 1,67 m khiến đường Lê Văn Lương, huyện Nhà Bè, TP HCM ngập sâu, người dân bì bõm lội nước về nhà."
2,Con cầy mangut dũng cảm cất tiếng rít chói tai đẩy lui cả bầy sư tử trong khu bảo tồn Kenya.
3,"Không oán trách, nhiều người nói ""bài học nhớ đời"" này đã khiến họ trả giá không chỉ bằng tự do mà cả hạnh phúc gia đình."
4,"Cài tiện ích mở rộng StayFocusd, bạn có thể kiểm soát thời gian vào Facebook để tập trung làm việc khác."
5,"Thời tiết bất thường khiến nhiều kênh đào ở Venice cạn nước, đẩy nhiều chiếc thuyền đáy bằng vào cảnh mắc cạn trên đất khô."
6,"Smart Palm không chỉ có tác dụng sạc điện thoại và phát Wi-Fi, nó còn là chỗ nghỉ mát vào ban ngày và là đèn chiếu sáng vào ban đêm."
7,"Xâu chuỗi những dấu hiệu bất thường của tài xế, cảnh sát lần ra manh mối vụ đốt ôtô khiến giám đốc tử vong ở Hậu Giang."
8,"Sau phiên xử cựu đại biểu Quốc hội, hơn 100 đơn kháng cáo gửi tới tòa Hà Nội, nhận là nạn nhân vụ án."
9,Cảnh làng xóm trở nên tươi tắn nhờ những bức tranh phong cảnh khổ lớn được vẽ trên tường nhà dân ở Móng Cái (Quảng Ninh).
10,"Từ ngày 1/1/2018, Chính phủ đã bổ sung thêm nhiều trường hợp được miễn, giảm tiền sử dụng đất."
11,"Khi tên lửa hạt nhân bay tới, người dân Hawaii chỉ có 12-13 phút để tự cứu lấy mình trước thảm họa khủng khiếp."
12,"Không muốn mất đồ trong hành trình của mình, bạn hãy ""bỏ túi"" những bí quyết dưới đây để có chuyến đi an toàn."
13,Các nhà khoa học Nga phát triển công nghệ giúp thủy thủ tàu ngầm gặp nạn thở dưới nước và nổi lên an toàn.
14,"Một ngày sau khi chủ kho phế liệu khai mua 7 tấn đạn từ một người thuộc Trung tâm Công nghệ xử lý bom mìn, Bộ Quốc phòng đã vào"
15,"Dù không rầm rộ, CIA vẫn miệt mài âm thầm theo dõi các hoạt động buôn lậu bị nghi do Triều Tiên thực hiện trên khắp thế giới."
16,"Sáng nay, đại diện PVC xác nhận thu hồi đạt trên 1.240 tỷ đồng, nhiều hơn con số 1.115 tỷ các bị cáo ""chiếm dụng"" từ dự án Nhiệt điện"
17,"Hành vi của bà Xuân có thể bị quy kết về tội Giết người, án phạt lên tới tử hình; còn thầy bói là đồng phạm nếu có xúi giục."
18,"Ngay cả khi thông thuộc ngữ pháp cơ bản, việc vận dụng tiếng Anh trong đặt câu vẫn khiến nhiều người lúng túng."
19,"Bộ Giao thông ra ""tối hậu thư"" trong 10 ngày nữa sẽ hủy hợp đồng nếu nhà đầu tư không đóng đủ vốn chủ sở hữu."
20,"Những lớp bọt dày trên mặt nước khiến bãi biển Naqoura, Lebanon, chuyển thành màu trắng, tạo nên khung cảnh ấn tượng."
21,Xin hỏi con người có gặp thảm họa nếu Trái Đất đứng yên trong một phút hay không? (Chiến Thắng)
22,Tác giả cuốn sách chỉ trích mạnh mẽ năm đầu nhiệm kỳ của Tổng thống Trump cho rằng thông tin trong sách có thể chấm dứt giai đoạn nắm quyền.
