id,description
1,"Thủ tướng Đức Angela Merkel và đảng Dân chủ Xã hội nhất trí thảo luận lập chính phủ liên minh, giúp tháo gỡ tình thế bế tắc chính trị."
2,Quân đội Ấn Độ đáp trả sau khi cáo buộc Pakistan nổ súng ở khu vực tranh chấp tại vùng Kashmir.
3,Dây đu đổ bộ của trực thăng bất ngờ bị đứt khiến cả ba binh sĩ Ấn Độ đang thực hành động tác đổ bộ rơi thẳng xuống đất.
4,Cơ sở bào chế ma túy của một nhóm người gốc Việt ở Canada bị phát giác khi lính cứu hỏa khống chế vụ hỏa hoạn trong căn nhà.
5,Lãnh đạo Triều Tiên cho rằng nước này có thể chống lại các lệnh trừng phạt trong 100 năm nhờ phát triển khoa học công nghệ.
6,"Một ôtô chở hai người bị lũ bùn ở bang California, Mỹ, cuốn trôi trên đường dù động cơ vẫn hoạt động."
7,Không quân Trung Quốc lần đầu triển khai máy bay J-20 tối tân trong cuộc diễn tập đối đầu với dòng J-10C và J-16 cũ hơn.
8,Tổng thống Trump hủy chuyến thăm Anh tháng tới vì bất bình về đại sứ quán Mỹ mới ở London ông dự kiến khánh thành.
9,Ảnh vệ tinh chụp nhà máy của Lockheed Martin cho thấy một phi cơ được cho là máy bay do thám siêu thanh SR-72.
10,Câu chuyện cậu bé Trung Quốc vượt đường xa giữa mùa đông khắc nghiệt để tới trường khiến rất nhiều nhà hảo tâm động lòng.
11,Tổng thống Philippines Duterte nói ông thường nhai kẹo cao su là để làm dịu cơn đau từ cột sống.
12,Tiếng động thu được gần nơi ARA San Juan mất tích có thể là kết quả của vụ nổ cực mạnh khiến chiếc tàu ngầm bị bóp nát.
13,"""Bác sĩ Trung Quốc giống như cái máy"", Gao Jiang nói về lý do xin tư vấn từ bác sĩ Mỹ khi tìm cách chữa trị cho con gái bị"
14,"Dù được gọi là khu vực phi quân sự, dải đất rộng 4km phân chia hai miền Triều Tiên là khu vực được vũ khí hóa bậc nhất thế giới."
15,Chủ tịch Trung Quốc đang có những biện pháp quyết liệt để nắm chắc quân đội và công an nhằm thúc đẩy chiến dịch chống tham nhũng.
16,Một bé trai Đài Loan được tìm thấy trong căn nhà khóa cửa cùng thi thể của ông bà qua đời hai ngày trước đó.
17,Mexico tái khẳng định nước này sẽ không bao giờ trả tiền cho bức tường biên giới mà Mỹ xây ở phía nam để ngăn người nhập cư phi pháp.
18,Đoàn xe chở pháo tự hành Mỹ chỉ được phép tiếp tục hành trình khi đáp ứng mọi điều kiện vận tải do luật pháp Đức quy định.
19,Daeyrs không kiềm chế được sự xúc động khi lần đầu tiên có một căn phòng ngủ đầy đủ giường và đồ đạc.
20,Các binh sĩ tại tỉnh Hắc Long Giang thực hiện các bài tập trong điều kiện giá lạnh để tăng tính kỷ luật và sức chịu đựng.
21,Hàng trăm khách trên một đoàn tàu cao tốc Trung Quốc phải đợi một người đàn ông đến trễ vì vợ anh ngăn không cho tàu chuyển bánh.
22,Một người đàn ông Hàn Quốc bị bắt vì nghi sát hại vợ và con trai tại một khách sạn cao cấp ở Hong Kong.
23,"Bằng cách bịa ra những câu chuyện bi thảm khiến người khác cảm động, ăn xin chuyên nghiệp ở Dubai có thể kiếm hơn 70 nghìn USD mỗi tháng."
24,Một phụ nữ Mỹ thiệt mạng do bị nhận nhầm trong vụ đánh ghen dẫn tới án mạng ở bang Florida.
25,"Hai tàu khu trục mới của Nhật sẽ được lắp hệ thống Aegis cải tiến, cho phép chia sẻ dữ liệu mục tiêu để tăng khả năng đánh chặn."
26,"Triều Tiên được cho là đang tiếp tục đào hầm ở phía tây bãi thử hạt nhân chính, báo hiệu khả năng nước này sẽ nổ một quả bom nữa."
27,Tổng thống Trump có thể đã hủy kế hoạch tới Anh vào tháng 2 để dự lễ khánh thành đại sứ quán Mỹ mới ở London.
28,Nghị sĩ Nga cho rằng Ukraine âm mưu tấn công Crimea nhằm mục đích kích động các lực lượng chống đối Nga tại bán đảo này.
29,Thiếu nữ Armenia 16 tuổi có khả năng dùng tóc mái để kéo xe ôtô nặng gần hai tấn.
30,"Tàu đổ bộ hạng nặng USS Portland sẽ được lắp module vũ khí laser trong năm nay, nhưng sẽ không triển khai trong chiến đấu."
31,Trung Quốc có nhiều công cụ gây ảnh hưởng với nước ngoài như tài trợ cho các đảng phái hay mở rộng tầm với của phương tiện tuyên truyền.
32,"Với những công cụ thô sơ, một người đàn ông Ấn Độ hai năm qua cần mẫn đào 8 km đường núi để con đến lớp."
33,Vận động viên Triều Tiên có thể đến Hàn Quốc qua Khu phi quân sự và không ở trong làng Olympic như vận động viên các nước khác.
34,"Trong một năm tại vị, Trump đã làm tình hình bán đảo Triều Tiên và Trung Đông thêm căng thẳng và vướng vào rắc rối với cựu phụ tá."
35,"10 tuổi bị bọn buôn người bắt cóc ở Hà Nội mang sang Anh, cậu bé trải qua 5 năm cay đắng trong các trang trại cần sa xứ người."
36,"Viên kim cương nặng 910 carat và có giá trị khoảng 40 triệu USD, là viên kim cương lớn thứ 5 từng được tìm thấy trong lịch sử."
37,"Mỹ sẽ triển khai các máy bay ném bom tàng hình, tàu sân bay và tàu đổ bộ tới bán đảo Triều Tiên trong dịp Olympic mùa đông 2018."
38,"10 tuổi bị bọn buôn người bắt cóc ở Hà Nội mang sang Anh, cậu bé trải qua 5 năm cay đắng trong các trang trại cần sa xứ người."
39,Một phần ban công tầng hai sàn chứng khoán Indonesia ở thủ đô Jakarta sập xuống sảnh phía dưới làm ít nhất 75 người bị thương.
40,Bộ Quốc phòng Nhật Bản cho biết tàu ngầm Trung Quốc áp sát nhóm đảo tranh chấp trên biển Hoa Đông tuần trước là một chiếc Type-093.
41,Cựu đệ nhất phu nhân Mỹ Michelle Obama và con gái Malia được nhìn thấy trên bãi biển Miami cùng bạn bè.
42,"Cựu ngoại trưởng Mỹ Rice cho biết nhà lãnh dạo Triều Tiên Kim Jong-un ""thực sự khôn khéo hơn"" so với những gì bà từng nghĩ."
43,"Do thiếu thông tin về giáo dục giới tính và định kiến của xã hội về tình dục, thanh niên Trung Quốc chọn cách học qua phim ảnh khiêu dâm."
44,"Khi tên lửa hạt nhân bay tới, người dân Hawaii chỉ có 12-13 phút để tự cứu lấy mình trước thảm họa khủng khiếp."
45,"Báo động tên lửa giả khiến Hawaii rơi vào hoảng loạn trong 38 phút, nhiều người thậm chí đã nhắn tin nói lời từ biệt với gia đình, bạn bè."
46,Chuyên gia Michael Waltz cho rằng Mỹ có thể bị tên lửa Triều Tiên đánh trúng do hiệu suất lá chắn tên lửa chỉ đạt 50%.
47,"Một bé gái được đưa xuống cống để ẩn náu sau khi chính quyền bang Hawaii, Mỹ phát nhầm báo động tên lửa đang lao tới."
48,"Truyền thông Thổ Nhĩ Kỳ công bố video hành khách hoảng sợ, bò ra khỏi phi cơ vừa trượt đường băng, suýt lao xuống Biển Đen."
49,Giới chức y tế Mỹ cảnh báo trào lưu ăn các viên giặt quần áo và đăng video lên mạng của giới trẻ có thể gây nguy hiểm đến tính
50,"Thái độ và phát ngôn đầy mâu thuẫn của ông Trump với báo chí khiến người dân Mỹ hoang mang trong vòng xoáy tin tức ""thật giả lẫn lộn""."
51,"Tổng thống Palestine mô tả nỗ lực vì hòa bình ở Trung Đông của Mỹ là ""cái tát thế kỷ"", sau khi Washington công nhận Jerusalem là thủ đô Israel."
52,"Robot sát thủ Nga sử dụng súng máy 12,7 mm phá hủy một áo giáp chống đạn trong một cuộc thử nghiệm."
53,Bản thảo đánh giá sức mạnh hạt nhân của Lầu Năm Góc cho thấy Mỹ có ý định mở rộng và hiện đại hóa kho vũ khí hạt nhân.
54,Cậu bé 8 tuổi tóc đóng băng đến trường đại diện cho hàng triệu trẻ em bị bỏ lại nông thôn Trung Quốc vì bố mẹ đi làm ăn xa.
